Instance_Id,Instance_Name,Raw_Text_Path,Time_Limit_s,Winner_Key,clasp1_Runtime_s,clasp2_Runtime_s,cryptominisat2011_Runtime_s,eagleup_Runtime_s,ebglucose_Runtime_s,ebminisat_Runtime_s,glucose2_Runtime_s,glueminisat_Runtime_s,gnoveltyp2_Runtime_s,lingeling_Runtime_s,lrglshr_Runtime_s,marchrw_Runtime_s,minisatpsm_Runtime_s,mphaseSAT_Runtime_s,mphaseSAT64_Runtime_s,mphaseSATm_Runtime_s,mxc09_Runtime_s,picosat_Runtime_s,precosat_Runtime_s,qutersat_Runtime_s,rcl_Runtime_s,restartsat_Runtime_s,sapperlot_Runtime_s,satime11_Runtime_s,sattime_Runtime_s,sattimep_Runtime_s,sol_Runtime_s,sparrow_Runtime_s,spear-hw_Runtime_s,spear-sw_Runtime_s,tnm_Runtime_s,clasp1_Status,clasp2_Status,cryptominisat2011_Status,eagleup_Status,ebglucose_Status,ebminisat_Status,glucose2_Status,glueminisat_Status,gnoveltyp2_Status,lingeling_Status,lrglshr_Status,marchrw_Status,minisatpsm_Status,mphaseSAT_Status,mphaseSAT64_Status,mphaseSATm_Status,mxc09_Status,picosat_Status,precosat_Status,qutersat_Status,rcl_Status,restartsat_Status,sapperlot_Status,satime11_Status,sattime_Status,sattimep_Status,sol_Status,sparrow_Status,spear-hw_Status,spear-sw_Status,tnm_Status,Image_Npy_Path
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,contest02-Mat26.sat05-457.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,5000.0,lingeling,138.72,123.82,634.72,1200.0,333.03,411.36,139.27,156.55,1200.0,112.27,1200.0,1200.0,157.18,212.05,263.47,209.93,125.3,842.72,198.47,493.83,780.44,421.5,918.18,1200.0,1200.0,1200.0,340.44,1200.0,420.86,1200.0,1200.0,ok,ok,ok,timeout,ok,ok,ok,ok,timeout,ok,timeout,timeout,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timeout,timeout,timeout,ok,timeout,ok,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/contest02-Mat26.sat05-457.reshuffled-07__b43b6d3dec71.npy
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf,contest02-ezfact64_10.sat05-449.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf,5000.0,mphaseSAT64,1200.0,1200.0,1200.0,1200.0,1200.0,931.15,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1006.36,788.33,801.46,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1163.9,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,timeout,timeout,timeout,timeout,timeout,ok,timeout,timeout,timeout,timeout,timeout,timeout,timeout,ok,ok,ok,timeout,timeout,timeout,timeout,timeout,timeout,ok,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/contest02-ezfact64_10.sat05-449.reshuffled-07__fdf254001c85.npy
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,5000.0,clasp2,84.14,68.68,217.12,1200.0,828.51,1200.0,259.04,620.9,1200.0,1200.0,977.32,1200.0,353.36,665.89,693.22,700.88,491.86,1200.0,673.39,192.73,270.6,1200.0,1021.34,1200.0,1200.0,1200.0,240.11,1200.0,269.45,1200.0,1200.0,ok,ok,ok,timeout,ok,timeout,ok,ok,timeout,timeout,ok,timeout,ok,ok,ok,ok,ok,timeout,ok,ok,ok,timeout,ok,timeout,timeout,timeout,ok,timeout,ok,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07__988b5ee32c62.npy
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,5000.0,clasp2,165.19,133.95,336.0,1200.0,910.98,1200.0,391.78,997.19,1200.0,1200.0,1200.0,1200.0,687.93,984.68,967.67,1005.63,566.74,1200.0,1150.59,273.51,896.14,1200.0,1200.0,1200.0,1200.0,1200.0,306.66,1200.0,541.55,1200.0,1200.0,ok,ok,ok,timeout,ok,timeout,ok,ok,timeout,timeout,timeout,timeout,ok,ok,ok,ok,ok,timeout,ok,ok,ok,timeout,timeout,timeout,timeout,timeout,ok,timeout,ok,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07__79ffba0b3549.npy
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-hwb-n26-01-S1957858365.sat05-500.reshuffled-07.cnf,contest03-hwb-n26-01-S1957858365.sat05-500.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest-02-03-04/contest03-hwb-n26-01-S1957858365.sat05-500.reshuffled-07.cnf,5000.0,mxc09,654.93,509.91,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,719.42,1200.0,770.97,720.94,747.5,293.29,295.51,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,ok,ok,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,ok,timeout,ok,ok,ok,ok,ok,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/contest03-hwb-n26-01-S1957858365.sat05-500.reshuffled-07__7f500eb28f0d.npy
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-dead-dnd001.sat05-2742.reshuffled-07.cnf,QG6-dead-dnd001.sat05-2742.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest05/QG/QG6-dead-dnd001.sat05-2742.reshuffled-07.cnf,5000.0,glueminisat,40.28,33.41,14.45,1200.0,32.82,55.7,40.19,12.84,1200.0,28.35,123.45,1200.0,71.78,49.12,1200.0,50.83,101.2,157.27,16.16,16.38,184.2,37.61,189.37,1200.0,1200.0,1200.0,49.61,1200.0,1156.02,1200.0,1200.0,ok,ok,ok,timeout,ok,ok,ok,ok,timeout,ok,ok,timeout,ok,ok,timeout,ok,ok,ok,ok,ok,ok,ok,ok,timeout,timeout,timeout,ok,timeout,ok,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/QG6-dead-dnd001.sat05-2742.reshuffled-07__ebc65189425f.npy
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-dead-dnd002.sat05-2713.reshuffled-07.cnf,QG6-dead-dnd002.sat05-2713.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest05/QG/QG6-dead-dnd002.sat05-2713.reshuffled-07.cnf,5000.0,cryptominisat2011,32.25,39.88,10.95,1200.0,373.63,67.7,153.09,15.34,1200.0,311.82,122.16,1200.0,1200.0,61.96,1200.0,73.2,78.94,1200.0,25.38,27.67,944.03,58.43,338.42,1200.0,1200.0,1200.0,103.89,1200.0,1200.0,1200.0,1200.0,ok,ok,ok,timeout,ok,ok,ok,ok,timeout,ok,ok,timeout,timeout,ok,timeout,ok,ok,timeout,ok,ok,ok,ok,ok,timeout,timeout,timeout,ok,timeout,timeout,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/QG6-dead-dnd002.sat05-2713.reshuffled-07__a87c2cc9fd4a.npy
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-brn007.sat05-2684.reshuffled-07.cnf,QG6-gensys-brn007.sat05-2684.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest05/QG/QG6-gensys-brn007.sat05-2684.reshuffled-07.cnf,5000.0,cryptominisat2011,28.69,41.67,12.28,1200.0,75.7,58.56,61.21,13.51,1200.0,50.04,103.45,1200.0,160.05,59.63,49.62,62.24,88.38,615.92,20.22,36.43,234.68,55.4,187.45,1200.0,1200.0,1200.0,61.37,1200.0,1200.0,1200.0,1200.0,ok,ok,ok,timeout,ok,ok,ok,ok,timeout,ok,ok,timeout,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timeout,timeout,timeout,ok,timeout,timeout,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/QG6-gensys-brn007.sat05-2684.reshuffled-07__96f1919c29e4.npy
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,QG6-gensys-icl001.sat05-2695.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,5000.0,cryptominisat2011,21.64,28.29,15.95,1200.0,87.26,78.55,55.87,18.16,1200.0,131.35,100.27,1200.0,478.91,65.01,53.62,60.18,90.8,1082.13,18.18,28.62,474.25,43.64,358.23,1200.0,1200.0,1200.0,132.25,1200.0,1200.0,1200.0,1200.0,ok,ok,ok,timeout,ok,ok,ok,ok,timeout,ok,ok,timeout,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timeout,timeout,timeout,ok,timeout,timeout,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/QG6-gensys-icl001.sat05-2695.reshuffled-07__d5fb98231a99.npy
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,QG6-gensys-icl004.sat05-2716.reshuffled-07,/Users/herreran/Documents/Universidad/practica-invg/data/sat/instances/sc2012-hard-combinatorial/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,5000.0,glueminisat,29.24,31.15,14.57,1200.0,67.21,63.28,42.5,13.01,1200.0,60.24,124.29,1200.0,64.37,58.63,53.66,64.3,110.26,248.61,20.26,21.53,92.96,54.08,218.38,1200.0,1200.0,1200.0,107.03,1200.0,412.0,1200.0,1200.0,ok,ok,ok,timeout,ok,ok,ok,ok,timeout,ok,ok,timeout,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timeout,timeout,timeout,ok,timeout,ok,timeout,timeout,/Users/herreran/Documents/Universidad/practica-invg/data/sat/datasets/sat_cnn_data_images/images/QG6-gensys-icl004.sat05-2716.reshuffled-07__b96057ff08f0.npy
